Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
Fort Collins Hilton,72,113,Larimer,5/8/2020,5/8/20,113,,,Mass Layoff - Temporary,Ft Collins Hilton,"Various: Banquet Servers & Setup, Accounting Clerk, Engineer, Barista, Event Sales, Front Desk and others",,,,
Four Seasons,72,268,Denver,9/11/2020,11/1/20,268,,,Temporary Closure for Rennovation,Four Seasons ,Various hotel staff positions (See WARN),,,,
Frontier Airlines,48,398,Denver,7/30/2020,10/1/20 to 10/4/20,398,,,COVID 19 TEMPORARY,Frontier,Not Disclosed,,,,
FS Vail Employment/Four Seasons Resort and Residences Vail,72,243,Rural Resort,3/20/2020,,243,,,COVID-19 Temporary Closure,Four Seasons Vail,"Various: Accounting, Front Desk, Guestroom Attendants, Activities Attendants, Cooks, Engineers, Banquest services etc.",,,,
G2 Secure Staff,48,23,Denver,4/7/2020,3/27/20,,,23,Furlough,G2 Secure,"Wheel Chair Agents, Dispatchers & Leads, Admin/Mgmt (Non-Union)",,,,
Gaylord Rockies Resort & Convention Center,72,1226,Arapahoe/Douglas,6/5/2020,3/13/20,1226,,,Temporary furloughs  and /or reduction in hours,Gaylord,"Various:Attendants, Cooks, Housekeeping, Billing, Performers, Engineers, Guest Experience Experts, Loss Prevention officer and more.",,,,
Geo Reentry Services LLC,92,196,Pikes Peak (Colo Springs),1/7/2020,3/6/2020,,,196,Furlough,Geo ,"Various: Corrections Personnel (136), Rehabilitation Providers/Therapists (23), General Admin (17), Food Service (6), Medical (14)",,,,169
Go Rentals,53,7,Denver,3/20/2020,3/22/20,,,7,Furlough,Go Rental Denver,"Carwash, Manager, Carcierge ",,,,
Go Rentals,53,11,Rural Consortium,3/20/2020,3/22/20,,,11,Furlough,Go Rental RC,"Carwash, Regional Manager, Trainee, Detailer",,,,
Grand Hyatt Denver,72,317,Denver,6/3/2020,6/20/20,317,,,Partial Closure - conversions of furloughs to temporary layoffs and some extensions of furloughs,Grand Hyatt Denver,"Various: Clerks, Cooks, Bartenders, Event Managers, Greeters, Hosts, Room Attendants, Security Officers, Servers Events and mor.",,,,
Grand Hyatt Denver,72,32,Denver,11/4/2020,11/6/20,,32,,COVID- Permanent,Grand Hyatt Denver,"Various: Supervisors, Managers, Chefs, Event Services, and more. (See WARN)",,,,
